Chinese	Pinyin	English
我的厨房里有好几个勺子。	wǒ de chúfáng lǐ yǒu hǎo jǐge sháozi	There are several scoops in my kitchen.
每个男人都有他的用处，每个女人都有她的藉口。	měi gè nánrén dōu yǒu tā de yòngchu měi gè nǚrén dōu yǒu tā de jièkǒu	Every man has his uses, and every woman her excuses.
我可以证明她是诚实的。	wǒ kěyǐ zhèngmíng tā shì chéngshí de	I can certify to her honesty.
他昨天没打扫房间。	tā zuótiān méi dǎsǎo fángjiān	He didn't clean the room yesterday.
他和他哥哥一样英俊。	tā hé tā gēge yīyàng yīngjùn	He is as handsome as his brother (is).
他的聪明和技巧使我们赞叹不已。	tā de cōngming hé jìqiǎo shǐ wǒmen zàntànbùyǐ	His cleverness and skill compel our admiration.
她不在乎你是否喜欢她。	tā bùzàihu nǐ shìfǒu xǐhuan tā	She does not care whether you like her or not.
你记得她的名字吗？	nǐ jìde tā de míngzi ma	Do you recollect her name?
如果我是你，我现在就不会进去找他。他这会儿心情不好，见谁骂谁，看什么都不顺眼。	rúguǒ wǒ shì nǐ wǒ xiànzài jiù bùhuì jìnqù zhǎo tā tā zhèhuìr xīnqíng bùhǎo jiàn shéi mà shéi kàn shénme dōu bù shùnyǎn	I shouldn't go in and see him now if I were you. He's having one of his bad days, swearing at everything and everyone.
你知道是谁发明的指南针吗？	nǐ zhīdào shì shéi fāmíng de zhǐnánzhēn ma	Do you know who invents the compass?
不开心是他生病的根源。	bù kāixīn shì tā shēngbìng de gēnyuán	Unhappiness is the root cause of his illness.
他的意见没多少影响。	tā de yìjiàn méi duōshao yǐngxiǎng	His opinion doesn't carry much weight.
我很匆忙, 所以随便地把衣服穿上了。	wǒ hěn cōngmáng suǒyǐ suíbiàn dì bǎ yīfu chuānshang le	I was in such a hurry that I put my clothes on anyhow.
我指望你来安排一切。	wǒ zhǐwàng nǐ lái ānpái yīqiè	I am banking upon you to help me with arrangements.
自从他是小孩时，他就喜欢狗。	zìcóng tā shì xiǎohái shí tā jiù xǐhuan gǒu	He has liked dogs since he was a child.
她写了一本关于巴黎公社的书。	tā xiě le yī běn guānyú Bālí Gōngshè de shū	She wrote a book on the Paris Commune.
即使这工作要花掉我六个星期的时间，我仍决心要把它完成。	jíshǐ zhè gōngzuò yào huādiào wǒ liù gè xīngqī de shíjiān wǒ réng juéxīn yào bǎ tā wánchéng	Even if it will take me six weeks, I am determined to finish the job.
咱们一起复习你的英语练习好吗？	zánmen yīqǐ fùxí nǐ de Yīngyǔ liànxí hǎo ma	Shall we go over your English exercises together?
我已经在这家旅馆里住了两个星期了。	wǒ yǐjīng zài zhè jiā lǚguǎn lǐ zhù le liǎng gè xīngqī le	I have been resident in this hotel for two weeks.
请接受我的慰问。	qǐng jiēshòu wǒ de wèiwèn	Please accept my condolences.
在桌上的银相框里有张她丈夫的照片。	zài zhuō shàng de yín xiàngkuàng lǐ yǒu zhāng tā zhàngfu de zhàopiàn	In a silver frame on the table there is a photograph of her husband.
这本书是他以前写的剧本的扩充。	zhè běn shū shì tā yǐqián xiě de jùběn de kuòchōng	This book is an expansion of the play he wrote before.
她不把我们的警告放在心上。	tā bù bǎ wǒmen de jǐnggào fàngzàixīnshàng	She paid no heed to our warnings.
我确信他是个可靠的接班人。	wǒ quèxìn tā shì gè kěkào de jiēbānrén	I am sure that he is a reliable successor.
她的书法有了明显的进步。	tā de shūfǎ yǒule míngxiǎn de jìnbù	There's been a noticeable improvement in her handwriting.
我们想去参加化装舞会。	wǒmen xiǎng qù cānjiā huàzhuāng wǔhuì	We want to join in the masquerade.
他和往常一样努力工作。	tā hé wǎngcháng yīyàng nǔlì gōngzuò	He works as hard as ever.
该被责怪的人是你。	gāi bèi zéguài de rén shì nǐ	It is you who are to blame.
你喜欢香港吗？	nǐ xǐhuan Xiānggǎng ma	How do you like Hong Kong?
她喜欢随着快节奏的音乐跳舞。	tā xǐhuan suízhe kuài jiézòu de yīnyuè tiàowǔ	She loves to dance to fast music.
我不太满意他对这个句子的翻译。	wǒ bù tài mǎnyì tā duì zhège jùzi de fānyì	I'm not satisfied with his interpretation of this sentence.
我对他很生气，因为他让我等了好久。	wǒ duì tā hěn shēngqì yīnwèi tā ràng wǒděng le hǎojiǔ	I was angry with him for keeping me waiting.
即使下雨我们也要去。	jíshǐ xiàyǔ wǒmen yě yào qù	We'll go even if it rains.
她的亲切给我留下了很深的印象。	tā de qīnqiè gěi wǒ liúxià le hěn shēn de yìnxiàng	Her gentleness has given me a deep impression.
请您放心，还款是有保障的。	qǐng nín fàngxīn huánkuǎn shì yǒu bǎozhàng de	Please rest assured that repayment is ensured.
你能告诉我去火车站最近的路吗？	nǐ néng gàosu wǒ qù huǒchēzhàn zuìjìn de lù ma	Can you tell me the nearest way to the railway station?
老师赞扬了她的勇气。	lǎoshī zànyáng le tā de yǒngqì	The teacher praised her for her courage.
人是有理性的生物。	rén shì yǒu lǐxìng de shēngwù	Man is a rational being.
未成熟的苹果是酸的。	wèi chéngshú de píngguǒ shì suān de	Green apples are sour.
我们在危险的时候应该保持冷静。	wǒmen zài wēixiǎn de shíhou yīnggāi bǎochí lěngjìng	We should keep our composure in danger.
我们应该学习祖先的成就。	wǒmen yīnggāi xuéxí zǔxiān de chéngjiù	We should study our ancestral achievements.
他让他的马退出了比赛。	tā ràng tā de mǎ tuìchū le bǐsài	He withdrew his horse from the race.
你能扶我上楼梯吗？	nǐ néng fú wǒ shàng lóutī ma	Could you help me up the stairs?
他得了肺炎。	tā déle fèiyán	He has an inflammation of the lungs.
她和我在学院里是同学。	tā hé wǒ zài xuéyuàn lǐ shì tóngxué	She and I were contemporaries at college.
他的诗集去年发表了。	tā de shījí qùnián fābiǎo le	His poetry was published last year.
我想北极地区的人要比这里的少得多。	wǒ xiǎng běijí dìqū de rén yào bǐ zhèlǐ de shǎo dé duō	I guess there are much less people in the Arctic regions than here.
我喜欢读一些关于电子音乐的书。	wǒ xǐhuan dú yīxiē guānyú diànzǐ yīnyuè de shū	I like to read books on electronic music.
他要我问候你。	tā yào wǒ wènhòu nǐ	He asked me to inquire after you.
你们有适合我穿的现成的衣服吗？	nǐmen yǒu shìhé wǒ chuān de xiànchéng de yīfu ma	Do you have anything ready- make that will fit me?
